,username,description,location,following,followers,totaltweets,retweetcount,text,hashtags
474,republic_glitz,"Official handle of the entertainment section of Republic, India's only independent news venture.","Mumbai, India",6,24944,26611,0,"#JohnnyDepp-#AmberHeard trial: Stenographer says few jurors 'were dozing off' during case
https://t.co/uEX1tPDi46","['JohnnyDepp', 'AmberHeard']"
475,MacBadger69,Theoretical science. Conspiracies. Florida Man. Hot Boi.,"Boston, MA",291,41,1516,0,"Wake me when she shits the bed.

#BradPitt #AngelinaJolie #JohnnyDepp #AmberHeard #Wine
 https://t.co/DCeFG2SawA","['BradPitt', 'AngelinaJolie', 'JohnnyDepp', 'AmberHeard', 'Wine']"
476,JoeyLawrenceEye,A HUGE fan of @joeylawrence @andyjlawrence & @matthewlawrence who supports them! LOVE them! They are the BEST! #FanAccount #JoeysAngel #JLBATANGEL #AndysBadass,,274,309,15089,1305,"Look you can say you don’t give a shit about the #JohnnyDepp and #AmberHeard trial but since it ended I’ve had two dv hotline calls TODAY, both male. That’s more than I’ve gotten in the last YEAR if not two. That’s why it’s important.","['JohnnyDepp', 'AmberHeard']"
477,ReginaPucket,"I write sweet romances, horror, inspirational, poetry, steampunk and children's books. http://t.co/UA4aP0Owis",Tennessee,92785,113515,904685,29,My Monday Musings https://t.co/gEoo08tj6j via @ToryRichards #johnnydepp #amberheard #mondaymusings #mondaythoughts #mondaymorning,"['johnnydepp', 'amberheard', 'mondaymusings', 'mondaythoughts']"
478,LandseySteinfe1,16 watcher,,3,1,7,0,"@realamberheard #AmberHeard 
The world was against her and the world is not right for that and also I feel she was abuse by Johnny deep but at same time I feel she must be be forgiven I not saying amber heard is correct both ex couple are in fault for this",['AmberHeard']
479,lightrailtrain,"#BlackLivesMatter
#IStandWithPalestine
According to the government, I don't exist
#TeamPfizer
#VictoryForJohnnyDepp",United States,1721,413,6294,5,#IStandWithJohnnyDepp #JohnnyDepp #JohnnyDeppGotJustice I support Johnny Depp and DV victims both men and women. There are men who are victims too and there are violent and abusive women like #AmberHeard so don’t judge so quickly before you know the facts https://t.co/arPRWJCeTi,"['IStandWithJohnnyDepp', 'JohnnyDepp', 'JohnnyDeppGotJustice']"
480,pennydejulia58,say no to joe,Orlando Florida,1806,740,25079,1,#AmberHeard spokesperson for @MakersMark AH looks into the camera says Makers Mark-Not easily broken Makes No Mark wearing a red dress &amp;💄 #NewJobsForAmberHeard #AmberTurd #EveFartlow #AmberHeardIsAnAbuser #AmberHeardCommittedPerjury #AmberHeardIsAPsycopath #JohnnyDeppGotJustice https://t.co/Rm4M1i3M17,['AmberHeard']
481,etimes,"Latest news,videos,photos,reviews from the world of Bollywood, Regional(Tamil,Telugu,Malayalam,Kannada,Bengali,Bhojpuri,Marathi,Punjabi,Gujarati) & Hollywood",,253,582027,175158,2,"#AmberHeard has received a marriage proposal from a man from Saudi Arabia!

#amberheardvsjohnnydepp #JohnnyDepp #JohnnyDepptrial
#JohnnyDeppvAmberHeard https://t.co/AZiAheT3Cn","['AmberHeard', 'amberheardvsjohnnydepp', 'JohnnyDepp', 'JohnnyDepptrial', 'JohnnyDeppvAmberHeard']"
482,mmjdd_J,I have a tiny obsession with hydras- anyways,Wherever fictional people r😍,54,186,941,4,"Best one so far😂
#Memes #funny #AmberHeard https://t.co/KYjdv1Ngta","['Memes', 'funny', 'AmberHeard']"
483,GinnySmith7,"I live in sunny upstate, SC with my husband and two dogs. I am a song writer.","upstate, SC",411,179,2353,2198,"This is a strip club here in Vegas. 😂💀
#AmberHeard https://t.co/0M6wJMkziA",['AmberHeard']
484,NENowNews,NorthEast Now is a multi-app based hyper-regional bilingual news portal which tries to cover every inch of the India's North-East.,"गुवाहाटी, भारत",327,22973,60721,0,"‘Pirates of the Caribbean’ star #jonnydepp, who won the defamation claim against ex-wife #AmberHeard, celebrated the victory in #Indian style.
#VaranasiRestaurant 
https://t.co/YeyOz3zO7H","['jonnydepp', 'AmberHeard', 'Indian', 'VaranasiRestaurant']"
485,d_oslon,I'm back...,,44,2,306,7,"The #JohnnyDepp case against #AmberHeard received wide publicity with some joking it maybe the 1st time a man won an argument against a woman. 
But Depp's lawyer was Camille Vasquez who won the trial for him. 

So finally it was a woman who won the argument fr him ✌️ #JustSaying","['JohnnyDepp', 'AmberHeard']"
486,Paruseruser,,,11,3,54,0,"People who fain abuse are monsters. People who’re willing to falsify evidence to support the lie are just as inhuman. #AmberHeard ‘lies upon lies' caused irreparable harm to real abuse survivors. #evebarlow doesn’t care about the truth, she only cares about the image of her idol. https://t.co/U6tGvloMWR","['AmberHeard', 'evebarlow']"
487,Ladyautumnsky,Wife🍁Mother of 5🍁 Mother of Twins(2sets)🍁Reiki Master 🍁 Healer 🍁 Empath 🍁 Spiritual Advisor 🍁 Bruja 🍁 Card Reader 20+yrs 🍁 Ordained Minister 🍁,"Tennessee, USA ",44,11,158,1,#AmberHeard spokesperson for @MakersMark AH looks into the camera says Makers Mark-Not easily broken Makes No Mark wearing a red dress &amp;💄 #NewJobsForAmberHeard #AmberTurd #EveFartlow #AmberHeardIsAnAbuser #AmberHeardCommittedPerjury #AmberHeardIsAPsycopath #JohnnyDeppGotJustice https://t.co/Rm4M1i3M17,"['AmberHeard', 'NewJobsForAmberHeard', 'AmberTurd', 'EveFartlow', 'AmberHeardIsAnAbuser', 'AmberHeardCommittedPerjury', 'AmberHeardIsAPsycopath', 'JohnnyDeppGotJustice']"
488,Astrid53447055,#justiceforjohnnydepp#NeverFearTruth#mentoo#whereswaldman#and give johnnydepp his twittter account,"Rotterdam, Nederland",677,707,3099,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
489,heartshinegirl,Beauty is not flawless. It shines even through your flaws. Let your heart shine! .ೋღ❤ღೋ.,"California, USA",485,158,5731,0,Every person supporting #AmberHeard is sending a message to Johnny Depp's kids. They're sending the message that they don't care that their dad was abused by a psychopath. They witnessed Amber abuse their dad. They saw it. He won the trial. His children don't need this BS.,['AmberHeard']
490,kdllrockport,,"Rockport, MA",73,3,112,0,"@Meepsia I didn't see a lot of actual support in this article. Actually, the feminists in Hollywood have been glaringly quiet. Because Holllywood is small town and everyone knows exactly who #amberheard is. No one is willing to stick their necks out for a fraud.",['amberheard']
491,IAmMissEngland,✨ Domestic Abuse • Mental Health • Solo Parenting • Nature therapy • Self-Empowerment • Follow on Insta @nicolecorrineengland✨,Albion,400,102,8539,0,This is a interesting podcast episode of @thecrimeanalyst - trauma informed dissection is what Survivors really need to understand what has happened here 💛 #DeppVsHeard #DomesticAbuse #JohnnyDepp #AmberHeard https://t.co/EBD6rHzJOm,"['DeppVsHeard', 'DomesticAbuse', 'JohnnyDepp', 'AmberHeard']"
492,DadaLives,"You know what they say - What doesn't kill you........mutates and tries again!

#DeleteFacebook","Indacouch, California",3441,1795,40071,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
493,Mort_Rainey777,"Here to continue to support Johnny Depp, even after he won his defamation case against ScAmber Turd! SO PROUD of him, AND his amazing legal team!","Beverly Hills, FL",1708,969,42620,3,"First she hates men now she hate women 🤦🏻‍♀️ make your mind up. All this coz you got played by #AmberHeard #AmberHeardCommittedPerjury 
#AmberHeardIsAnAbuser 
FACE FACTS SWEETIE https://t.co/zNz08JYJEd",['AmberHeard']
494,MyNation_CKS,Member of MyNation (https://t.co/iVnQfkBcgV),India,216,162,8515,14,"@MyNation_PM @DrProudman @AnsuMynation @DrProudman , unfortunately, the world we now live in is full of  #AmberHeard !

Great Respect for all respectable #women ! https://t.co/OB0Cliirpk",['AmberHeard']
495,Sarah_G_Barker,Boy Mom-Lu’s👰🏻‍♀️ #justiceforjohnnydepp Former Republican @ModishArts Materials Manager🚁STR Biz Owner.BRRR.NFT Coding✡️#BLM CT/FL🔜🌊GamerXB1🎮♥️Horror❤️MMA,Team Johnny Depp,4587,2250,51114,0,"@WMurphyLaw 👉🏻Barrister (UK Lawyer) @dshensmith breaks it all down &amp; more on his YT👇🏻-U asked why ACLU &amp; WaPo didnt join #AmberHeard as defendants but limited replies-ACLU wanted to join #JohnnyDepp but he declined-why would they join AH? She hasnt paid ACLU or CHLA/2
https://t.co/R2tGEq9ilC","['AmberHeard', 'JohnnyDepp']"
496,heartshinegirl,Beauty is not flawless. It shines even through your flaws. Let your heart shine! .ೋღ❤ღೋ.,"California, USA",485,158,5731,0,"Every woman out there supporting #AmberHeard should be ASHAMED of themselves for blindly believing a woman without having watched ANY of the trial where she is exposed for being the liar, the psycho, the abuser. Seriously you should be embarrassed to be supporting her. #AmberTurd","['AmberHeard', 'AmberTurd']"
497,sotnasoinotna,"A budding novelist with bad writer's block and photographer who is a DIE HARD (ice) hockey and football/soccer fan, and a lover of good hard rock/metal music!",Manila,2090,1745,344119,1,saudi man offers to marry #AmberHeard https://t.co/QvQ6yaD4rq,['AmberHeard']
498,GoodaleTeagan,,,61,2,69,29,"She got blicked up 
#shooting #hoodfight #Fights #fight #AmberHeardCommittedPerjury #AmberHeard #AmberTurd #JusticeForJohhnyDepp https://t.co/ZifIB57Q6t","['shooting', 'hoodfight', 'Fights', 'fight', 'AmberHeardCommittedPerjury', 'AmberHeard', 'AmberTurd']"
499,Dee33967523,Sometimes I think stuff,,103,5,321,0,"@Eve_Barlow you abuse and harass hard. Just from the other side of the fence. is abuse not abuse when it comes from the #AmberHeard side?  What's called what u do? 

You have been so under the belt.  You are no good for Amber and You make it worse for her.  I'm feeling for her https://t.co/yh43cyLdC3",['AmberHeard']
500,Sarah_G_Barker,Boy Mom-Lu’s👰🏻‍♀️ #justiceforjohnnydepp Former Republican @ModishArts Materials Manager🚁STR Biz Owner.BRRR.NFT Coding✡️#BLM CT/FL🔜🌊GamerXB1🎮♥️Horror❤️MMA,Team Johnny Depp,4587,2250,51114,0,@WMurphyLaw Youre a lawyer yes? UK case was #JohnnyDepp vs The Sun &amp; Dan Whooten. #AmberHeard was a witness which is why all evidence JD has against her wasnt allowed in-AH lied on stand about donations-judge said that proves she wasnt lying but she lied-hasnt paid/1 https://t.co/9j2PCQVwDk,"['JohnnyDepp', 'AmberHeard']"
501,IahRataza,"WD3 is a writer, producer, actor, musician, from Pasadena, California",,132,35,579,0,20 minutes to change your life-WD3 Movie https://t.co/sVbjCWuQxm #ICO #rap #hiphop #dccomics #ACA #Medicaid #cute #Marketing #CannabisCommunity #cannabisculture #shrooms #Putin #Russia #Ukraine️ #NBAFinals #fitnessgirl #model #vacation #photography #AMC #AmberHeard,"['ICO', 'rap', 'hiphop', 'dccomics', 'ACA', 'Medicaid', 'cute', 'Marketing', 'CannabisCommunity', 'cannabisculture', 'shrooms', 'Putin', 'Russia', 'Ukraine️', 'NBAFinals', 'fitnessgirl', 'model', 'vacation', 'photography', 'AMC', 'AmberHeard']"
502,AlessiaAoife,"Opinionated mind. Respects those who speak the truth & those that can fight for the rights of all humans, and more so a voice for our animal kingdom 💞✌️☮️🤝🦁",Australia,115,9,91,0,Well hey it might add 20c to pay the bill. May as well try!🤣🤣🤣 #JohnnyDeppVsAmberHeardTrial #JohnnyDepp #JohnnyDeppGotJustice #AmberHeard #AmberHeardIsAPsycopath #VictoryForJohnnyDepp https://t.co/pynIdyQqPe,"['JohnnyDeppVsAmberHeardTrial', 'JohnnyDepp', 'JohnnyDeppGotJustice', 'AmberHeard', 'AmberHeardIsAPsycopath', 'VictoryForJohnnyDepp']"
503,DanielaG1429,,"Commack, NY",10,0,49,0,"Lmao!! Looks like they’re still spewing lies! Wow!! Her entire team, family &amp; friends need help!! Go help her heal!! She needs it! She doesn’t need you still making her look worse! #AmberHeard #JusticeForJohnnyDepp https://t.co/DyEBWhP4Ci","['AmberHeard', 'JusticeForJohnnyDepp']"
504,the_newsmen,"Your daily supplement of news, facts, analysis & opinion pieces. 📰
Participate in group discussions. GET THE APP NOW 
https://t.co/jF7n5puUXQ",,789,3098,44846,0,"#Hollywood star #JohnnyDepp spent over $62,000 or Rs 48.22 lakh for a special celebratory curry dinner with his friends on Sunday evening in #Birmingham, #England.
#JOHNNYDEPPWINS #JohnnyDepptrial #AmberHeard 
https://t.co/VWOCgWiYmt","['Hollywood', 'JohnnyDepp', 'Birmingham', 'England', 'JOHNNYDEPPWINS', 'JohnnyDepptrial', 'AmberHeard']"
505,karthick1111992,"Hi,I am KRT(Karthick Raja Thirumalai)
THEDAL for all,
This is your youtube search engine
Watch, subscribe and comment pannunga..
https://t.co/hzuiTJr0fL",chennai,105,19,32,0,"Marriage Beginning to End #JohnnyDeppGotJustice
#JohnyDepp #AmberHeard #johnydeppgottapirratesofthecaribbean #Aquaman2 #JohnyDeppVsAmberHeard #AmberIsALiar #JusticeServedForJohnnyDepp https://t.co/EJYkytPcjo https://t.co/R9NimV6VS4","['JohnnyDeppGotJustice', 'JohnyDepp', 'AmberHeard', 'johnydeppgottapirratesofthecaribbean', 'Aquaman2', 'JohnyDeppVsAmberHeard', 'AmberIsALiar', 'JusticeServedForJohnnyDepp']"
506,Elizabe92075377,,,3,0,3,0,"#JohnnyDepp #AmberHeard   I hate Twitter, but I do want to say something. I don't side with Ms. Heard, but doesn't mean I believe it's right for ppl to make threats of any kind at her. Grow tf up, just cause you don't like her doesn't give you the right to say that kind of shit.","['JohnnyDepp', 'AmberHeard']"
507,CynthiaDill8,"#LGTBQ+ she/her
💚",,42,3,4,1,"NO WE DID NOT ! 
#IStandWithAmberHeard 
#MeToo 
#AmberHeard 
#EveBarlowisawarrior https://t.co/tPUBoJCYEx","['IStandWithAmberHeard', 'MeToo', 'AmberHeard', 'EveBarlowisawarrior']"
508,manoskop1,,,3,0,3,12,"What the kid do tho guy🤦‍♂️
#viral #school #Schoolfight #Fights #hood #ASUU #boxing #fightpage #FightVideo #hoodsvideo #hoodvideos #streetfight #worldstarfights #worldstar #June2022 #StreetFighter #streetfight #DoctorStrange     #AmberHeard #fighting #fightschool #fightingvideos #v https://t.co/ISJDX06mPy","['viral', 'school', 'Schoolfight', 'Fights', 'hood', 'ASUU', 'boxing', 'fightpage', 'FightVideo', 'hoodsvideo']"
509,BeattieNerys,"Mother, writer and adventure seeker...📚","Wales, United Kingdom",387,132,438,0,"@M1che11ePearl And #AmberHeard is a 'real' activist??  I think there are some sick children in hospital that might strongly disagree there, along with many true DV survivors!",['AmberHeard']
510,MaxCrypto888,Investor in $POOR and proud member of #PoorQuackArmy Tired of scam cryptos.,,1331,14501,1653,0,"@EliaAlbers If you are as $POOR as #AmberHeard why not simply stake a dominant memecoin for #passiveincome?

Be a #superhero and avoid Toxic people.
#HugeProblemToASaneWorld https://t.co/2JCVeQDLjb","['AmberHeard', 'passiveincome', 'superhero', 'HugeProblemToASaneWorld']"
511,DaniMet1,,,132,53,3171,0,"Sarah Paulson (@mssarahpaulson) is now following #AmberHeard on Instagram. It's a good show of support, although still not enough. ##IStillBelieveAmberHeard #IStandWithAmberHeard #IStillStandWithAmberHeard #JusticeForAmberHeard #AmberHeardIsInnocent #WeHeardYou","['AmberHeard', 'IStillBelieveAmberHeard', 'IStandWithAmberHeard', 'IStillStandWithAmberHeard', 'JusticeForAmberHeard', 'AmberHeardIsInnocent', 'WeHeardYou']"
512,Dee33967523,Sometimes I think stuff,,103,5,321,0,"I don't agree with abuse and bullying
Which is why Im asking @Eve_Barlow 2 stop bullying &amp; harass innocent people who don't deserve to be dragged through mud. The double standards r astounding. 
Please stop hurting innocent people. 
#JohnnyDeppVsAmberHeard
#AmberHeard https://t.co/yh43cyLdC3","['JohnnyDeppVsAmberHeard', 'AmberHeard']"
513,aj_jsj19,#MUFC #Xbox #PlayStation #Nintendo,"Liverpool, England",244,62,1456,1,"@curiousityfeeds @phxrisingamb Nice to see that after watching #AmberHeard tell multiple lies in court and be ordered to pay #JohnnyDepp $10,350,000, her stans have been reduced to following their liars' lead by making up stories about others.

#AmberHeardCommittedPerjury
#AmberIsALiar
#AmberHeardlsAnAbuser","['AmberHeard', 'JohnnyDepp', 'AmberHeardCommittedPerjury', 'AmberIsALiar', 'AmberHeardlsAnAbuser']"
514,MemerHelp,"""𝐓𝐡𝐢𝐬 𝐢𝐬 𝐚 𝐠𝐨𝐨𝐝 𝐭𝐰𝐢𝐭𝐭𝐞𝐫.  𝐈 𝐥𝐢𝐤𝐞 #𝐦𝐞𝐦𝐞𝐬.""  -   𝐉𝐢𝐦𝐦𝐲 𝐅𝐮𝐧𝐠𝐮𝐬.",,2687,2537,5504,2,Let's settle this debate once and for all... who is the most evil person in the universe?  #AmberHeard #VladimirPutin,"['AmberHeard', 'VladimirPutin']"
515,piggy_political,Black. Woman. Progressive. independent. Politically Incorrect. and Proud. #DemExited 2016,United States,268,71,5094,1,It’s disgusting of #ElaineBredehoft and #MSM to try to undermine the jury system by implying that #AmberHeard did not receive a fair trial.  The MSM “journalists” didn’t even bother to watch the trial and #ElaineBredehoftisALiar #CancelTheMSM #AmberIsALiar,"['ElaineBredehoft', 'MSM', 'AmberHeard', 'ElaineBredehoftisALiar', 'CancelTheMSM', 'AmberIsALiar']"
516,KakarotVegeta3,Saiyan Warrior,,64,4,171,5,Mean while Amber thinking she looks sad but really looks like this 🤡 #NewJobsForAmberHeard #AmberHeard https://t.co/XQykAv9Ykp,"['NewJobsForAmberHeard', 'AmberHeard']"
517,pimwijnen1,,,17,0,70,108,"None of you Turd stans can logically explain away the audio that incriminates her. #AmberHeard’s attempt was pure nonsense. 

If you believe Amber Heard then you are stupid or in denial.",['AmberHeard']
518,RogueNebula,,,0,0,140,0,"@Washboard86 @emspairow @edwardbutler1h1 @DrProudman If they are going by that logical fallacy, perhaps they can then countenance the FOUNDER of #metoo renouncing their support for #AmberHeard instead then.","['metoo', 'AmberHeard']"
519,gatsbysmellshot,"Cognoscenti, Passionnée d’art de Vivre et de Parfums, Work until we get to “Dolce far Niente”",Canada 🇨🇦,579,434,17725,0,😂😂😂😂 I live for this thread she literally took movies to spite and excite #AmberTurds fans 😂😭 #AmberHeard  goldmine 😂🥹 https://t.co/ET594j4oFx,"['AmberTurds', 'AmberHeard']"
520,RuthlessCI,"People always ask me, “Why Ruthless Compassion?” I use the term because I have two fundamental beliefs. One is to be tough-minded and the other is to be kind.","Toronto, Ontartio",124,24,361,0,"I explain our love/hate relationship with celebrities, especially towards Johnny Depp and Amber Heard during their trial.

Watch the whole video: Our Love Hate Relationship with the Depp vs  Heard Trial 👉 https://t.co/BfILSyv0eT

#JohnnyDepp #DeppvHeard #AmberHeard https://t.co/BYGnf23FvY","['JohnnyDepp', 'DeppvHeard', 'AmberHeard']"
521,ellathegeek,mostly just the random thoughts that cross my mind | #justiceforjohnnydepp 💕🏴‍☠️,"England, United Kingdom",137,32,1430,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
522,aScOtTiShBiKeR,"“My level of sarcasm depends on your level of stupidity.” ALL tweets are my OWN OPINION, AS ARE YOURS. I use the MUTE function for idiots #justiceforjohnnydepp",Everywhere & Nowhere,158,75,3643,0,#AmberHeard #AmberTurd #evebarlow #EveFartlow #elainebredehoft #BenRottenborn TRUTH never lies! AH couldn’t even admit to the smallest of things when she was caught in a lie. Abhorrent excuse for a human being. https://t.co/wExnCod7fB,"['AmberHeard', 'AmberTurd', 'evebarlow', 'EveFartlow', 'elainebredehoft', 'BenRottenborn']"
523,sugarfruit1014,,,50,227,72887,115,"The reality of what #AmberHeard has done.

#DeppHeardTrial
#AmberHeardCommittedPerjury
#AmberTurd #AmberHeardlsApsychopath
#NewJobsForAmberHeard
#AmberHeardDeservesPrison https://t.co/7xUIxroihJ","['AmberHeard', 'DeppHeardTrial', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeardlsApsychopath']"
524,iamdaisybloom,,,142,19,1903,0,"the dislikes 😭😭😭😭

#ElaineBredehoftisALiar #ElaineBredehoftisAJoke #AmberHeardCommittedPerjury #AmberTurd #AmberHeard #JohnnyDeppvAmberHeard https://t.co/17qPjvY1TW","['ElaineBredehoftisALiar', 'ElaineBredehoftisAJoke', 'AmberHeardCommittedPerjury', 'AmberTurd', 'AmberHeard', 'JohnnyDeppvAmberHeard']"
525,sumsumnoodle,"When the rain washes you clean, you'll know💞",San Diego!,744,228,40757,1,"There are some men who are naturally people pleasers, and want love, acceptance, and to provide for everyone around them. That's #JohnnyDepp. There are some people who USE people like him. Take advantage. Walk all over him, and abuse him. That's #AmberHeard. 

Good vs Evil.",[]
526,olejpf,"I beat 3 strokes, they didn’t beat me. Texas Southern University alumni 2007 #EpilepsyAwareness #tron $wink #Bitcoin #BTT",Texas,1094,1674,43508,0,I would let #AmberHeard give me the Monkey Pox. #Johnny,"['AmberHeard', 'Johnny']"
527,depp_day,Memorable Quotes from one of the Greatest Movie Stars of His Generation,,7,16,2,0,"""She's begging begging for total global humiliation. She's gonna get it...""

Text to his agent, August 2016

#JohnnyDeppvAmberHeard #JohnnyDeppIsAnAbuser #JohnnyDepp #TeamJohnnyDepp #AmberHeard","['JohnnyDeppvAmberHeard', 'JohnnyDeppIsAnAbuser', 'JohnnyDepp', 'TeamJohnnyDepp', 'AmberHeard']"
528,_LilTomato_,"FEMALE/18+/loves Arc-V, other Animes, Games and MORE/knows exactly WHERE she posts her stuff (NO PERMISSION TO REPOST!!)/German & English",,184,46,16314,1,"It does not matter that the victims of domestic violence are male. They can be victims regardless of gender.

Men in particular have a hard time saying that they are being beaten by their female partners.
#JohnnyDepp #JohnnyDeppAmberHeardTrial 
#Amberheard #justiceforjohnnydepp https://t.co/sJy76atX4Z",[]
529,CynthiaDill8,"#LGTBQ+ she/her
💚",,42,3,4,0,Justice for Amber #AmberHeard,['AmberHeard']
530,BlackBeard20096,Fact-Slinger. Firm believer in equal rights and responsibilities. Whose bowl of con flakes did I piss facts into now?,"Hamilton, Ontario, Canada",3916,2814,88788,0,"@Martha_Gill @NatetheLawyer @YouTube And yet the alleged victim knew the bias would be against Depp.
You should look up @erin_pizzey and the violence she faced for trying to help dv abused men. After she opened the world's first abused women's shelter.
#AmberHeard 
#JohnnyDeppGotJustice https://t.co/HeawJggVRS","['AmberHeard', 'JohnnyDeppGotJustice']"
531,BlackWi84,nothing to know! just a fan account #AmberHeard and #LindsayLohan 🤪 and Bi 💋,Italia,758,154,2627,2,"Good morning everyone, hope you have a great day and be strong. #GoodMorningTwitterWorld #AmberHeard #IStandWithAmberHeard #LoveIslandUK https://t.co/WSImum6d1m","['GoodMorningTwitterWorld', 'AmberHeard']"
532,earn_sippakorn,"Create a sculpture by some clay and oil paint.
https://t.co/5jxiF1jbrm
https://t.co/vYq8kSDCsd",Thailand,1642,1319,10535,4,"“  PANIC IS OUR GREAT ENEMY “

All Panic Items in The Thinkerss Collection @opensea 

 👉🏻 https://t.co/IdNjGs8NrD
 👉🏻 https://t.co/cNTyaXX89N

#nftcollectors #nfts #NFTCommunity  #nftinvestor #NFTshills  #comicart #popsurrealism #characterdesign #johnnydepp #ElonMusk #AmberHeard https://t.co/4hVzJrfE3c",[]
533,Anne_J_D,I like to see the glass half full of Jack Daniels,,230,183,3006,1,"Hooray for sanity! Well written @JKirri!
  
https://t.co/NDy9vm5hG8

#AmberHeardIsAnAbuser 
#JohnnyDeppGotJustice 
#AmberHeard 
#JohnnyDepp","['AmberHeardIsAnAbuser', 'JohnnyDeppGotJustice']"
534,graham2263,#CoventryCityFC London Bus driver. @TheWalkingDead Fan @MakingaMurderer https://t.co/Ni5cE2OEMk,"England, United Kingdom",239,183,9729,0,Such a liar is all I can say #AmberHeard more perjury?  Amber went to #JohnnyDepp film premier Pub... #JohnnyDeppvAmberHeard https://t.co/nsp9CNKzVe via @YouTube,"['AmberHeard', 'JohnnyDepp', 'JohnnyDeppvAmberHeard']"
535,AmberHeardfan17,Sharing positivity for @realamberheard and making sure that all survivors voices are Heard. #IStandWithAmberHeard,,579,211,24,2,"Good morning everyone, hope you have a great day and be strong. #GoodMorningTwitterWorld #AmberHeard #IStandWithAmberHeard #LoveIslandUK https://t.co/WSImum6d1m","['GoodMorningTwitterWorld', 'AmberHeard', 'IStandWithAmberHeard', 'LoveIslandUK']"
536,varun_aryen,Nope. nothing here about me.,"Hyderabad, India",33,47,2717,0,"My dog stepped on a bee..😂
It's the funniest statement ever in a court room.
#AmberHeard 
#JohnnyDeppIsInnocent 
#AmberHeardMemes https://t.co/fvopCd3uof","['AmberHeard', 'JohnnyDeppIsInnocent', 'AmberHeardMemes']"
537,C_W_UK,,"Hyères, France",755,1994,201059,0,#AmberHeard's sister speaks out after #JohnnyDepp defamation trial: 'The cards were stacked against us' https://t.co/xOOCX8h0mr,"['AmberHeard', 'JohnnyDepp']"
538,CristaLea11,"Writer.Comical Mama! Adore fun,laughs,art,movies(horror) sports,lit,nature & frogs. 🐸   Johnny Depp & MJ fan! 🌊  Democrat.Resister. #writingcommunity",Kansas,4740,2384,12073,0,This is @clementine_ford who speaks on feminist rights. She's slammed #JohnnyDepp .. Plz read her hand written note. This is the perfect  example of #AmberHeard support/feminist movmt today. Male hate. #Mentoo #AbuseHasNoGender #ShutThisDown #HateCrimes #Metoo https://t.co/rDdyOleYyx,"['JohnnyDepp', 'AmberHeard', 'Mentoo', 'AbuseHasNoGender', 'ShutThisDown', 'HateCrimes', 'Metoo']"
539,AngelaB1723,Loving wife loving life.,,125,7,87,1305,"Look you can say you don’t give a shit about the #JohnnyDepp and #AmberHeard trial but since it ended I’ve had two dv hotline calls TODAY, both male. That’s more than I’ve gotten in the last YEAR if not two. That’s why it’s important.","['JohnnyDepp', 'AmberHeard']"
540,Chrisp81073755,,,13,0,214,3,"Bruh behind the camera😂😂 Dannnm
#viral #school #Schoolfight #Fights #hood #ASUU #boxing #fightpage #FightVideo #hoodsvideo #hoodvideos #streetfight #worldstarfights #worldstar #June2022 #StreetFighter #streetfight #DoctorStrange  #AmberHeard #fighting https://t.co/VD6GUMDCXC","['viral', 'school', 'Schoolfight', 'Fights', 'hood', 'ASUU', 'boxing', 'fightpage', 'FightVideo']"
541,PrettyMochaGirl,346 days🥳👑,,14,7,41,5,Mean while Amber thinking she looks sad but really looks like this 🤡 #NewJobsForAmberHeard #AmberHeard https://t.co/XQykAv9Ykp,"['NewJobsForAmberHeard', 'AmberHeard']"
542,RKrystofosky,geeks and gamers supporter.friday nite tights lover.hail the fellowship bitches,,213,1,30,2198,"This is a strip club here in Vegas. 😂💀
#AmberHeard https://t.co/0M6wJMkziA",['AmberHeard']
543,IzzyVerena,Artist and Photographer,"Manchester, UK",1036,193,26765,86,"#AmberHeard is a courageous victim who has repeatedly stood up to  #johnnydeppisanabuser in 3 separate courts, 2 trials &amp; 2.83mil PAID tweets by Depp (nevermind other SM) to ruin her, stood up to public death threats &amp; she still handles herself w grace showing us to #NeverGiveUp","['AmberHeard', 'johnnydeppisanabuser']"
